"Reference","Value","Manufacturer_Name","Manufacturer_Part_Number","Qty"
"C2,C3,C6,C7,C8,C11","100n","Syfer","0805Y1000104JXT","6"
"C4,C5","10n","Syfer","0805Y1000104JXT","2"
"C9","4.7n","Syfer","0805Y1000104JXT","1"
"C10","22p","Syfer","0805Y1000104JXT","1"
"IC1","LTC6820HMS#PBF","Analog Devices","LTC6820HMS#PBF","1"
"IC2","ADC I2C ADS1115QNKSRQ1","Texas Instruments","ADS1115QNKSRQ1","1"
"IC3","CAN Controller MCP2518FDT-H_SL","Microchip","MCP2518FDT-H/SL","1"
"IC4","CAN Transceiver ATA6563-GBQW1","Microchip","ATA6563-GBQW1","1"
"J1","GPIO","","","1"
"J2,J4","4P Angle 171857-4004","Molex","22-11-2042","2"
"J3,J5","2P Angle 171857-4002","Molex","22-11-2022","2"
"J6","UJ20-C-V-C-1-SMT-TR","Same Sky","UJ20-C-V-C-1-SMT-TR","1"
"PS1","Alim","Traco Power","THN 30-1211","1"
"R3,R8,R9,R10","2k","KOA Speer","RK73H2BLTDD2152F","4"
"R4,R5","1k","KOA Speer","RK73H2BLTDD2152F","2"
"R6,R7","51","KOA Speer","RK73H2BLTDD2152F","2"
"R11,R12","60","KOA Speer","RK73H2BLTDD2152F","2"
"R13","3k9","KOA Speer","RK73H2BLTDD2152F","1"
"R14,R15","8k2","KOA Speer","RK73H2BLTDD2152F","2"
"R16","24 .5W","Vishay","RCS120624R0FKEA","1"
"R17","47 .5W","Vishay","RCS080547R0FKEA","1"
"R18,R19","360","KOA Speer","RK73H2BLTDD2152F","2"
"R20","3.6k","KOA Speer","RK73H2BLTDD2152F","1"
"R21","10k","KOA Speer","RK73H2BLTDD2152F","1"
"T1","SM91502ALE","Bourns","SM91502ALE","1"
"Y1","Oscillateur CB3-3C-20M0000","CTS","CB3LV-3C-20M0000","1"
