"Reference","Value","Qty","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"C1","C","1","","","",""
"C2,C3,C4,C5,C6,C7,C8","1u","7","Syfer","0805Y1000104JXT","",""
"DU1","Opamp_Dual","1","Texas Instruments","TLV9062QPWRQ1 ","595-TLV9062QPWRQ1 ",""
"DU2","Opamp_Dual","1","Texas Instruments","LMV393IPWR","595-LMV393IPWR",""
"G1,G2","Gate NAND SN74AHCT1G00DBVR","2","Texas Instruments","SN74AHCT1G00DBVR","595-SN74AHCT1G00DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G00DBVR?qs=w32V8uFkMxnwwXcMH%2F61Dg%3D%3D"
"G3","Gate AND SN74AHCT1G08DBVR","1","Texas Instruments","SN74AHCT1G08DBVR","595-SN74AHCT1G08DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G08DBVR?qs=8Pd2FuFSoMGY9AK%2Ftqwbcw%3D%3D"
"J1,J2,J3,J4,J5,J6","2P Droit 2-11-2022","6","Molex","22-11-2022","538-22-11-2022","https://www.mouser.fr/ProductDetail/Molex/22-11-2022?qs=mrPiglD9aYLq1NGrfjXTJg%3D%3D"
"J7","4P Droit 22-11-2042","1","Molex","22-11-2042","538-22-11-2042","https://www.mouser.fr/ProductDetail/Molex/22-11-2042?qs=mrPiglD9aYJfi57%2FgjU4lw%3D%3D"
"K1,K3","Relais PCB","2","Panasonic","CP1-12V","769-CP1-12V","https://www.mouser.co.uk/ProductDetail/Panasonic-Industrial-Devices/CP1-12V?qs=mTeSeKeuVA7dPPafy7M16g%3D%3D"
"K2,K4","Bistable V23079B1201B301","2","TE Connectivity","V23079B1201B301","655-V23079B1201B301","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Axicom/V23079B1201B301?qs=Mpp7pS3%252Boa448t%252ByTVqVnw%3D%3D"
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8","NMOS SQ2348ES-T1_GE3","8","Vishay","SQ2348ES-T1_GE3","781-SQ2348ES-T1_GE3","https://www.mouser.co.uk/ProductDetail/Vishay-Siliconix/SQ2348ES-T1_GE3?qs=jHkklCh7amgC88blremf%252Bw%3D%3D"
"QU1","Opamp_Quad","1","Texas Instruments","LMV339IPWR","595-LMV339IPWR",""
"R1,R2,R3","500k","3","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D"
"R4,R5,R6,R13,R14","10k","5","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D"
"R7,R10","82k","2","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D"
"R8,R9","12k","2","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D"
"R11,R12","500","2","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D"
"R15","3k9","1","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D"
"R16,R17","8k2","2","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D"
"R18","100k","1","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D"
"U1","Alim LP TSR_0.5-2450","1","Traco Power","TSR 0.5-2450","495-TSR0.5-2450","https://www.mouser.co.uk/ProductDetail/TRACO-Power/TSR-0.5-2450?qs=ckJk83FOD0XpEgQBSwF%2FIw%3D%3D"
"U2","","1","Texas Instruments","TLV9061QDCKRQ1 "," 595-TLV9061QDCKRQ1 ",""
