"Designator","Comment","Footprint"
"C1","22p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C2","22u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C3","0.22u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C4","2.2u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C5,C10,C11,C26","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C6,C7,C8,C9,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24","10n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C25","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"IC1","LT3990EMSE#TRPBF","EPSA:SOP50P490X110-17N"
"IC2","LTC6255IS6#TRMPBF","EPSA:SOT95P280X100-6N"
"IC3,IC4","ADG728BRUZ-REEL7","EPSA:SOP65P640X120-16N"
"IC6","LTC6811IG-1#PBF","EPSA:SOP50P780X200-48N"
"J1,J3","Conn_01x02_Pin","EPSA:RHDR2W97P0X254_1X2_654X508X1379P"
"J2,J6","Conn_01x07_Pin","EPSA:SHDRRA7W77P0X254_1X7_2032X1359X699P"
"J4,J5","Conn_01x08_Pin","EPSA:SHDRRA9W69P0X254_1X9_2527X1359X741P"
"L1","33u","Inductor_SMD:L_1210_3225Metric_Pad1.42x2.65mm_HandSolder"
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12","Q_PMOS_GDS","EPSA:SOT-23-3"
"R1","316k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R2","1M","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R3","374k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R4","470","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R5,R6","4.7k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R7,R13,R15,R17,R20,R23,R26,R29,R32,R35,R38,R41,R44,R47,R51","100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R8,R9,R10,R11","51","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R12,R18,R21,R24,R27,R30,R33,R36,R39,R42,R45,R48","3.3K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R14,R16,R19,R22,R25,R28,R31,R34,R37,R40,R43,R46","25","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder"
"R49,R50","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R52","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"T1","SM91501ALE","EPSA:SOP200P1473X500-12N"
