iDeviceNr;extraCommentField;..;iDeviceFam;iDeviceTxt;iVdcBusDP;..;iVdcBusFDiv;iVdcBatFDiv;..;iVdcBusAltFDiv;iVdcBatAltFDiv
0x08;ats3;;ATS;ATS_3;0;;"""31.08151""";;;;
0x30;ds4820;;dsBrick;dsBrick;1;;"""434.86211""";;;;
0x38;ds8020;;dsBrick;dsBrick;1;;"""434.86211""";;;;
0x42;imd122a (deif);;IMD;IMD_122a;0;;"""29.38564""";;;;
0x43;imd122b (deif);;IMD;IMD_122b;0;;"""29.89008""";"""59.56905""";;;
0x44;imd122c (proto);;IMD;;0;;"""32.04650""";;;"""29.89008""";
0x45;imd122b (plus);;IMD;;0;;"""29.89008""";"""58.38564""";;;
0x46;imd122c (deif);;IMD;IMD_122c;0;;"""32.04650""";"""53.32271""";;"""29.89008""";"""59.56905"""
0x47;imd135   (deif);;IMD;IMD_135a;0;;"""31.45261""";"""53.32271""";;"""29.89008""";
0x70;BaMobil;;BaM;;1;;"""361.66049""";;;;
0x71;BaMobil;;BaM;;1;;"""422.84769""";;;;
0x72;BaMobil;;BaM;;1;;"""361.66049""";;;;
0x73;BaMobil;;BaM;;1;;"""422.84769""";;;;
0x74;BaMobil;;BaM;;1;;"""361.66049""";;;;
0x75;BaMobil;;BaM;;1;;"""422.84769""";;;;
0x76;BaMobil;;BaM;;1;;"""361.66049""";;;;
0x77;BaMobil;;BaM;;1;;"""422.84769""";;;;
0x78;BaMobil;;BaM;;1;;"""361.66049""";;;;
0x79;BaMobil;;BaM;;1;;"""422.84769""";;;;
0x7A;BaMobil;;BaM;;1;;"""177.29321""";;;;
0x7B;BaMobil;;BaM;;1;;"""211.38978""";;;;
0x7C;BaMobil;;BaM;;1;;"""177.29321""";;;;
0x7D;BaMobil;;BaM;;1;;"""211.38978""";;;;
0x7E;BaMobil;;BaM;;1;;"""177.29321""";;;;
0x7F;BaMobil;;BaM;;1;;"""211.38978""";;;;
0xC0;mBamoCar 700-160;;mBaC;mBaC_700V_80A;0;;"""31.45299""";;;;
0xC1;mBamoCar 700-100;;mBaC;mBaC_700V_50A;0;;"""31.45299""";;;;
0xC2;BaC 700-900;;BaC;;0;;"""31.62590""";;;;
0xC4;BamoCube 700-100;;cBaC;cBaC_700V_50A;0;;"""32.04650""";;;;
0xC6;BAC-400-160-F-2RS;;fBAC;fBAC_400V_80A;0;;"""31.45351""";;;;
0xC7;BAC-700-400-F-1RS;;fBAC;fBAC_700V_200A;0;;"""31.58483""";;;;
0xCB;BamoCar 400-DC;;BaC;BaC_400V;0;;"""55.12044""";;;;
0xCC;BamoCar 400-400;;BaC;BaC_400V_200A;0;;"""55.12044""";;;;
0xCD;BamoCar 700-400;;BaC;BaC_700V_200A;0;;"""31.58483""";"""59,12345""";;;
0xCE;BamoCar 400-250;;BaC;BaC_400V_125A;0;;"""55.12044""";;;;
0xCF;BamoCar 700-250;;BaC;BaC_700V_125A;0;;"""31.58483""";;;;
0xF0;Koefper 1sr 700-400;;KH;;0;;"""15.84700""";;;;
0xF1;Koefper 2sr 700-400;;KH;;0;;"""31.84280""";;;;
0xF2;Koefper  pg 700-400;;KH;;0;;"""31.84280""";;;;
0xF3;KO-V500__900348;;KH;;0;;"""31.84280""";;;;
0xF4;KO-V500__900367;;KH;;0;;"""31.84280""";;;;
0x11;;;;;2;;"""2.5""";;;;
0x10;;;;;3;;"""1.25""";;;;
0x93;;;;;4;;"""13.0""";;;;
0xDC;;;;;2;;"""27.1""";;;;
